AQI,Max1,Avg1,Min1,Max2,Avg2,Min2,Max3,Avg3,Min3,Max4,Avg4,Min4,Max5,Avg5,Min5,Total
390,66,54.6,45,54,48,43,100,80.9,49,6,2.4,0,29.4,29.3,29.3,0
368,66,55.4,46,54,48.4,46,100,80.2,49,7,2.1,0,29.4,29.3,29.2,0
337,68,58,46,55,49.7,41,100,74.3,0,8,2,0,29.3,29.2,29.2,0
253,72,61.4,52,55,47.2,34,100,65.1,25,7,1.6,0,29.3,29.2,29.1,0
227,59,55.9,54,57,54.8,50,100,96,82,14,5.5,0,29.3,29.2,29.1,0
179,66,59.9,55,63,55.9,54,100,87.5,73,10,6.8,0,29.3,29.2,29.1,0
150,64,61.5,57,64,59.6,55,100,94,82,14,8.8,0,29.3,29.2,29.1,0
114,61,60.5,59,61,59,57,,95.4,94,14,6.9,0,29.2,29.2,29.1,0
160,59,54.8,50,57,54.5,50,100,98.6,94,12,5.9,0,29.2,29.2,29.1,0
213,61,53.4,46,55,51.2,45,100,92.7,82,8,2.9,0,29.3,29.2,29.2,0
176,61,51.5,46,59,50.4,45,100,95.6,76,10,6.7,3,29.3,29.2,29.2,0
258,61,52.6,46,54,49.3,46,100,89.3,63,7,2.5,0,29.3,29.2,29.2,0
351,61,54,46,57,51.7,46,100,92.4,82,5,2,0,29.3,29.2,29.2,0
311,59,51.9,48,57,50.2,46,100,94.2,88,8,3.3,0,29.3,29.2,29.2,0
202,55,49.6,46,54,48.7,46,100,97,87,9,4.5,0,29.3,29.3,29.2,0
359,59,51.5,46,50,47.6,45,100,88.3,63,7,2.8,0,29.4,29.3,29.3,0
234,61,51.8,48,52,49.4,46,100,92.5,63,6,2,0,29.4,29.3,29.3,0
238,57,50.3,46,52,48.3,45,100,92.7,82,9,5.4,0,29.3,29.2,29.2,0
341,61,54.4,50,57,52.3,48,100,93.7,72,7,3.5,0,29.3,29.1,29,0
326,64,54.5,50,61,52.1,50,100,92.6,68,8,3.5,0,29.1,29,29,0
284,64,57,50,57,54.5,50,100,92.4,73,13,4.6,0,29.1,29,28.9,0
171,59,55,52,55,53.3,50,100,93.4,82,15,9.6,3,29,28.9,28.9,0
235,59,53.9,50,57,52.9,46,100,94.6,0,8,4.1,0,29.1,29,28.9,0
267,59,52.8,46,55,51.3,46,100,94.9,77,6,1.9,0,29.2,29.1,29.1,0
211,54,49.3,46,52,48.4,46,100,97.2,88,8,3.4,0,29.2,29.1,29.1,0
259,59,52.5,46,57,50.4,46,100,92.7,82,10,3.5,0,29.2,29.2,29.1,0
192,64,54,46,55,49.9,45,100,87.1,59,12,6.8,3,29.3,29.2,29.1,0
244,66,54.8,45,50,45.9,37,100,76.7,35,14,5.8,0,29.2,29.2,29.2,0
253,70,57.8,46,55,48.1,39,100,74.9,33,10,4,0,29.3,29.2,29.1,0
267,70,58.1,50,55,50,46,100,77.8,43,17,6.1,0,29.1,29,29,0
293,73,59.6,50,54,51.2,48,94,76.1,43,8,3.4,0,29.1,29.1,29,0
292,66,56.7,50,59,54.1,48,100,91.7,73,8,6,3,29.1,29,29,0
260,72,58.7,50,61,52.8,39,100,85.1,33,14,7.6,0,29.1,29,28.9,0
182,57,54.2,50,55,52.9,48,100,95.3,94,20,9.7,5,28.9,28.9,28.9,0
179,61,55.1,46,57,53.1,46,100,93.8,82,10,4.9,0,29.1,29,28.9,0
227,64,53.4,46,57,49.4,45,100,88.3,52,7,2.6,0,29.2,29.1,29,0
234,72,59.3,46,55,47.3,28,100,70.4,20,6,2.8,0,29.2,29.2,29.1,0
179,75,64.7,54,59,53.1,45,100,71.1,34,9,4,0,29.2,29.1,29.1,0
195,75,65.2,55,63,58.3,52,100,80.5,44,10,2.8,0,29.1,29.1,29,0
170,68,59.8,54,63,55.4,52,100,86.7,60,12,5.1,0,29.3,29.2,29.1,0
172,72,60.3,52,61,52.1,45,100,77.7,43,12,6.8,3,29.3,29.2,29.1,0
191,72,59.4,50,55,48.9,39,100,72.7,33,18,6.3,0,29.2,29.2,29.1,0
192,72,61.1,48,54,48.8,37,100,68.9,29,12,4.7,0,29.2,29.1,29.1,0
176,77,64,50,57,47.8,34,100,62.8,22,7,3.6,0,29.2,27.3,0,0
169,77,66.1,52,57,46.4,36,94,54.7,22,8,4.4,0,29.2,29.1,29.1,0
168,77,65.6,55,52,46.4,39,88,55.2,26,7,2.3,0,29.2,29.1,29,0
193,75,64.8,55,59,53.1,46,100,70.1,36,10,2.8,0,29.1,29,29,0
188,77,64.7,55,59,51.1,41,100,66.7,28,7,2.2,0,29.1,29,29,0
162,81,67.6,55,59,48.4,27,100,60.8,15,10,3.2,0,29.1,29.1,29,0
175,77,65.8,55,57,50.6,45,100,62.5,32,13,7.1,3,29.2,29.1,29,0
177,73,63.7,54,57,53.7,48,94,72.7,41,15,7.5,3,29,28.9,28.9,0
168,77,65.1,54,52,42.4,30,94,49.7,18,10,4.5,0,29,29,28.9,0
168,77,68.2,57,61,49.2,37,100,54.8,27,17,12.6,6,29.1,29,28.9,0
181,73,65.4,59,63,59.4,57,100,82,57,14,5.1,0,29.2,29.1,29.1,0
191,77,68.1,59,63,56.7,41,100,71.2,28,10,2.8,0,29.2,29.2,29.1,0
109,79,68.2,59,66,55.7,50,100,68.8,36,17,7.3,0,29.3,29.2,29.1,0
113,72,64.6,57,61,54.8,46,100,73.5,43,17,8.9,0,29.3,29.2,29.1,0
126,75,63.6,55,57,52.1,46,100,69.1,36,12,6.1,0,29.3,29.3,29.2,0
160,75,66,54,55,48.1,39,94,56.9,27,10,6.1,0,29.3,29.2,29.1,0
160,77,66,54,59,53.6,45,100,68.9,34,8,3.3,0,29.3,29.2,29.2,0
174,79,68,57,63,56,48,94,69.2,34,10,4.5,0,29.3,29.2,29.1,0
163,82,71.5,61,63,55.8,45,94,62.8,26,8,4,0,29.2,29.2,29.1,0
176,75,67.4,57,63,59.3,54,100,76.9,47,12,8.3,3,29.3,29.2,29.1,0
117,77,67.1,55,63,55.9,50,100,70.9,39,13,7.3,0,29.2,29.1,29.1,0
155,81,69.8,59,63,57.3,48,94,67.8,34,7,2.7,0,29.2,29.1,29.1,0
167,86,71.4,61,61,55.4,48,100,61.9,27,8,3,0,29.2,29.1,29.1,0
176,86,73.7,63,64,57.5,48,94,61.6,27,12,4.7,0,29.2,29.1,29.1,0
154,86,73.9,63,63,50.7,37,94,50.1,18,13,6.7,3,29.2,29.1,29.1,0
154,82,72.9,63,66,56.6,45,100,61.5,26,14,6.4,0,29.1,29.1,29.1,0
154,84,72.6,63,64,57,48,100,62.4,28,14,6.5,0,29.2,29.1,29,0
155,84,73.9,61,64,56.4,45,94,59,25,14,5.5,0,29.1,29.1,29,0
170,88,77.3,66,66,60,52,94,59,29,10,4.5,0,29.1,29,29,0
169,90,78.7,68,73,66.2,55,100,70.8,31,9,3.3,0,29.1,29,29,0
174,93,81.1,70,73,67.9,59,100,68.2,34,13,5.3,0,29,28.9,28.9,0
172,93,81.5,70,70,66.8,57,94,65.1,30,14,7.2,0,29,28.9,28.8,0
161,93,82.1,72,75,68.7,63,94,67.5,36,7,3.9,0,29,28.9,28.9,0
189,91,81.9,73,73,71.6,68,94,72.5,49,12,6,0,29,28.9,28.9,0
173,97,84.1,73,72,67,59,94,60.3,28,10,4.1,0,29,28.9,28.8,0
176,99,85.8,75,72,55.4,39,89,41.4,13,8,4,0,28.9,28.8,28.8,0
167,97,84.6,73,72,64.4,52,83,54.8,23,12,6.7,2,29,28.9,28.9,0
166,93,82.5,72,68,58.5,48,83,48.7,21,16,7.5,0,29,28.9,28.9,0
159,95,82,72,66,57.2,48,83,46.5,20,8,3.1,0,29,28.9,28.9,0
164,93,83,70,68,52.6,41,78,39.2,16,12,4.4,0,28.9,28.9,28.8,0
162,93,81.2,70,70,57.7,43,94,50.6,17,13,6.1,0,29,28.9,28.9,0
161,93,81.8,68,61,51.3,41,73,38.7,18,17,9.1,3,29.1,29,28.9,0
161,97,83.7,73,54,46.6,37,50,31.1,13,9,2.5,0,29,29,28.9,0
166,100,86.2,70,55,45.6,30,60,29.3,9,12,4,0,29,28.9,28.9,0
172,104,87.6,73,55,45.7,34,50,26.9,9,12,3.6,0,28.9,28.9,28.9,0
171,102,88.1,75,55,46.6,34,50,27.3,9,6,2.5,0,29,28.9,28.9,0
169,100,89.6,73,54,49,45,50,26.5,16,9,5,0,29,28.9,28.9,0
194,97,85.3,73,57,39.7,21,50,24.6,7,13,4.9,0,29,28.9,28.9,0
175,102,87.3,72,46,40.5,34,41,21.8,9,7,3.5,0,29.1,29,28.9,0
173,102,87.6,73,48,36,21,41,19.4,6,12,4.3,0,29,28.9,28.9,0
161,100,87.2,75,50,40,27,41,21.2,7,12,4.9,0,29,29,28.9,0
185,102,87.6,73,50,37.9,23,44,20.6,6,14,4.1,0,29.1,29,29,0
180,104,87.9,73,46,38.5,23,36,20.5,6,14,3.9,0,29.1,29,29,0
183,104,89.3,75,46,42,36,34,20.9,10,10,3.4,0,29.1,29,28.9,0
176,108,91.3,77,50,38,23,36,18.4,5,12,3.1,0,29,28.9,28.9,0
160,106,93.4,77,48,36.8,21,36,16.1,5,12,3.3,0,28.9,28.9,28.8,0
175,108,92.8,81,48,38.4,25,30,16.8,5,12,5,0,28.9,28.9,28.8,0
180,108,93.8,79,48,39.3,34,34,16.5,8,12,3.9,0,28.9,28.8,28.8,0
163,102,91.8,81,50,42.3,34,34,19.2,10,12,4.5,0,28.9,28.8,28.8,0
165,102,91.7,79,50,41.2,28,36,18.9,8,9,5,0,28.9,28.8,28.7,0
160,102,90.2,81,50,43.3,34,32,20.9,9,17,7.3,3,28.9,28.8,28.7,0
155,104,90.8,79,55,46,28,44,23.9,7,12,5.4,0,28.9,28.8,28.7,0
172,104,90.7,77,55,45.2,28,47,24.3,7,13,4.8,0,28.9,28.8,28.7,0
177,104,91.7,79,55,45,30,42,22.4,8,7,2.6,0,28.9,28.8,28.8,0
170,108,93.1,79,55,47.1,37,37,22.7,9,6,2.1,0,28.9,28.9,28.8,0
169,109,94.7,82,54,43.4,36,37,18.5,10,14,6,0,29,28.9,28.9,0
177,106,93.8,81,52,43.9,32,31,19.6,8,17,5.7,0,29,28.9,28.8,0
168,97,88,77,57,48.4,45,50,26.4,17,17,8,0,29.1,28.9,28.9,0
170,100,89.6,77,52,45.9,39,41,23.5,13,9,4,0,29,28.9,28.9,0
165,104,90.5,77,52,40,27,41,19.8,8,12,4.3,0,29,28.9,28.9,0
176,102,92.1,77,48,41.8,36,32,18.6,10,12,7.5,3,29,28.9,28.8,0
177,104,92.5,82,52,43.5,21,33,20,8,29,7.9,0,29,28.9,28.8,0
130,104,92.8,82,52,43.7,37,35,19.9,10,14,4.3,0,28.9,28.9,28.8,0
181,108,94.3,81,52,39.9,27,37,17.6,6,13,4.1,0,28.9,28.9,28.8,0
197,109,96,81,50,43.3,34,30,18.1,7,14,3.2,0,28.9,28.9,28.8,0
197,109,97.6,86,50,38.5,27,29,14.5,6,9,4.9,0,28.9,28.8,28.7,0
230,109,98.4,84,43,37,30,22,12.8,6,9,4.3,0,28.8,28.8,28.7,0
155,104,92.8,84,72,59.3,46,66,34.4,18,14,9.5,6,28.8,28.7,28.6,0
160,104,94,84,68,62.4,52,58,37.7,18,15,9.6,3,28.8,28.8,28.6,0
155,99,91.6,84,73,68.6,61,62,48.1,29,9,5.7,3,28.9,28.8,28.8,0
174,99,85.9,75,73,67.1,59,78,56.2,27,17,7.5,0,28.9,28.9,28.8,0
96,99,87.5,75,70,63.9,54,83,49.3,22,7,4,0,29,28.9,28.8,0
174,100,91.1,81,70,60,54,70,37,24,10,3.5,0,29,28.9,28.8,0
142,104,92.6,81,63,56.5,45,51,31.9,14,9,4.4,0,29,28.9,28.8,0
177,104,92.4,81,68,61.8,50,58,38.6,16,12,7.3,3,28.9,28.8,28.7,0
159,102,93.1,84,72,65.8,61,66,42.1,26,13,8.9,6,28.9,28.8,28.7,0
154,100,92.8,86,68,65.1,63,55,40.9,31,14,8.3,6,28.9,28.8,28.7,0
161,104,94.6,84,72,67.2,63,58,41.8,26,9,6.8,5,28.8,28.8,28.7,0
155,109,96.7,86,72,65,54,62,37.9,16,12,7.3,3,28.8,28.7,28.6,0
155,113,100.9,86,59,46.4,34,29,17.7,7,12,5.8,0,28.8,28.7,28.6,0
160,106,97.9,84,54,41.3,34,35,15.5,8,14,8.2,5,28.8,28.7,28.6,0
151,108,95.6,84,66,56.8,45,46,29.8,12,10,6.1,3,28.8,28.7,28.6,0
163,106,96.4,88,63,57.7,48,43,28.3,15,17,7,0,28.8,28.8,28.7,0
156,109,98.6,86,66,56.8,37,45,28.1,9,10,5,0,28.9,28.7,28.6,0
136,111,98.6,88,66,51.6,37,49,23.8,9,17,7.7,0,28.7,28.7,28.6,0
90,108,93.2,79,68,54.4,45,69,32.2,13,23,7.7,0,28.7,28.6,28.5,0
88,104,91.1,77,68,60.4,50,74,39.1,16,16,7.7,0,28.6,28.6,28.5,0
73,84,75.3,64,73,68.2,63,100,80,58,35,13.2,5,28.9,28.7,28.6,0
72,90,81,68,75,71,68,100,73.7,49,39,5.7,0,28.9,28.9,28.8,0
106,93,85.4,79,75,71.3,63,89,64.6,38,10,4.4,0,28.9,28.9,28.8,0
87,97,88.5,77,75,64.7,54,94,49.3,23,8,3.5,0,28.9,28.8,28.7,0
133,100,90.2,82,189,67.4,59,79,43.9,0,14,6.5,0,28.8,28.7,28.6,0
119,104,94.7,84,75,69.8,63,66,45.4,31,9,5.8,0,28.7,28.7,28.6,0
119,106,92.6,84,75,67.3,61,70,45.5,24,10,6.5,3,28.7,28.7,28.6,0
153,104,88.4,82,73,68.4,66,66,52.3,31,14,5.9,0,28.8,28.7,28.6,0
158,104,94.5,82,70,63.4,57,58,37.6,21,9,3.8,0,28.8,28.7,28.7,0
